Category,Question,Answer,Source
Digital Financial Literacy,How safe is using public Wi-Fi for banking? What should I watch out for?,Avoid sensitive transactions on public Wi-Fi; use mobile data or a VPN and update apps regularly. [Source: GSMA],GSMA
Digital Financial Literacy,How safe is using public Wi-Fi for banking? Who can help me with this?,Avoid sensitive transactions on public Wi-Fi; use mobile data or a VPN and update apps regularly. [Source: SME guides],SME guides
Digital Financial Literacy,What are digital footprints?,"They are records of your online activities, including transactions.",General
Digital Financial Literacy,What is SIM swap fraud and how to avoid it?,Contact your operator to add extra checks for changes and never share OTPs or PINs. [Source: Central Bank guidance],Central Bank guidance
Digital Financial Literacy,What is SIM swap fraud and how to avoid it? How can I do this cheaply?,Contact your operator to add extra checks for changes and never share OTPs or PINs. [Source: IFAD],IFAD
Digital Financial Literacy,What is SIM swap fraud and how to avoid it? Is this available in rural areas?,Contact your operator to add extra checks for changes and never share OTPs or PINs. [Source: SME guides],SME guides
Digital Financial Literacy,What is SIM swap fraud and how to avoid it? What should I watch out for?,Contact your operator to add extra checks for changes and never share OTPs or PINs. [Source: Central Bank guidance],Central Bank guidance
Digital Financial Literacy,What is SIM swap fraud and how to avoid it? Who can help me with this?,Contact your operator to add extra checks for changes and never share OTPs or PINs. [Source: IMF],IMF
Digital Financial Literacy,What is SIM swap fraud?,It is when fraudsters transfer your number to another SIM to steal money.,General
Digital Financial Literacy,What is a USSD code?,It is a short code you dial on your phone to use mobile money without internet.,General
Digital Financial Literacy,What is a digital wallet?,It is an app or account that stores money electronically for payments.,General
Digital Financial Literacy,What is a strong password?,"It is long, unique, and not easy to guess.",General
Digital Financial Literacy,What is an OTP?,A one-time password is a code sent to confirm your transaction.,General
Digital Financial Literacy,What is biometric authentication?,It uses your fingerprint or face to confirm identity.,General
Digital Financial Literacy,What is digital financial literacy?,It is the ability to use digital tools like mobile apps and USSD safely for money matters.,General
Digital Financial Literacy,What is digital inclusion?,It means everyone has access to affordable internet and digital services.,General
Digital Financial Literacy,What is financial technology (fintech)?,It means using technology to improve financial services like banking and payments.,General
Digital Financial Literacy,What is mobile fraud?,It is theft or scams carried out using mobile phones.,General
Digital Financial Literacy,What is mobile loan fraud?,It is when scammers trick you into giving details to steal mobile loans in your name.,General
Digital Financial Literacy,What is two-factor authentication and why use it?,Two-factor adds an extra layer (code or biometric) making accounts much harder to access by thieves. [Source: GSMA],GSMA
Digital Financial Literacy,What is two-factor authentication and why use it? How can I do this cheaply?,Two-factor adds an extra layer (code or biometric) making accounts much harder to access by thieves. [Source: IFAD],IFAD
Digital Financial Literacy,What is two-factor authentication and why use it? Is this available in rural areas?,Two-factor adds an extra layer (code or biometric) making accounts much harder to access by thieves. [Source: GSMA],GSMA
Digital Financial Literacy,What is two-factor authentication and why use it? What should I watch out for?,Two-factor adds an extra layer (code or biometric) making accounts much harder to access by thieves. [Source: Mobile operator guidance],Mobile operator guidance
Digital Financial Literacy,What is two-factor authentication and why use it? Who can help me with this?,Two-factor adds an extra layer (code or biometric) making accounts much harder to access by thieves. [Source: NGO financial education],NGO financial education
Digital Financial Literacy,What is two-factor authentication?,It adds an extra step like a code sent to your phone for more security.,General
Digital Financial Literacy,When should I update my banking apps?,Updates patch security issues; set apps to update automatically where possible. [Source: Central Bank guidance],Central Bank guidance
Digital Financial Literacy,When should I update my banking apps? How can I do this cheaply?,Updates patch security issues; set apps to update automatically where possible. [Source: Mobile operator guidance],Mobile operator guidance
Digital Financial Literacy,When should I update my banking apps? Is this available in rural areas?,Updates patch security issues; set apps to update automatically where possible. [Source: FAO],FAO
Digital Financial Literacy,When should I update my banking apps? What should I watch out for?,Updates patch security issues; set apps to update automatically where possible. [Source: FAO],FAO
Digital Financial Literacy,When should I update my banking apps? Who can help me with this?,Updates patch security issues; set apps to update automatically where possible. [Source: NGO financial education],NGO financial education
Digital Financial Literacy,Why avoid public Wi-Fi for transactions?,Public Wi-Fi is unsafe and hackers may steal your data.,General
Digital Financial Literacy,Why is cybersecurity important?,It protects your money and personal data from hackers.,General
Digital Financial Literacy,Why is digital literacy important?,It helps you access modern financial services securely and confidently.,General
Digital Financial Literacy,Why keep apps updated?,To enjoy new features and security protections.,General
Digital Financial Literacy,Why log out after transactions?,It prevents others from accessing your account on shared devices.,General
Digital Financial Literacy,Why not click suspicious links?,They may lead to fake sites that steal your information.,General
Digital Financial Literacy,Why read SMS alerts carefully?,They confirm real transactions and help detect fraud quickly.,General
Digital Financial Literacy,Why should I back up my phone?,So you do not lose important financial data if the phone is lost.,General
Digital Financial Literacy,Why update your apps?,Updates fix bugs and improve security.,General
Financial Planning & Retirement,How can I leave a financial legacy?,"Use clear wills, named beneficiaries, and simple instructions so heirs can access assets with minimal delay. [Source: Legal/financial guidance]",General
Financial Planning & Retirement,How can I protect savings from inflation?,"Consider a mix of savings and investments that historically outpace inflation, like certain bonds or diversified assets. [Source: Invest guides]",General
Financial Planning & Retirement,How do I estimate retirement needs?,"Estimate future expenses, consider inflation, and plan for healthcare and emergencies. [Source: Financial planning guides]",General
Financial Planning & Retirement,How much should I aim to save each month for the future?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: Central Bank guidance],Central Bank guidance
Financial Planning & Retirement,How much should I aim to save each month for the future? How can I do this cheaply?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: World Bank],World Bank
Financial Planning & Retirement,How much should I aim to save each month for the future? Is this available in rural areas?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: SME guides],SME guides
Financial Planning & Retirement,How much should I aim to save each month for the future? What should I watch out for?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: IFC],IFC
Financial Planning & Retirement,How much should I aim to save each month for the future? Who can help me with this?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: SME guides],SME guides
Financial Planning & Retirement,What is a pension contribution?,A pension contribution is money you or your employer put into a retirement fund. [Source: Pension regulator],General
Financial Planning & Retirement,What is a simple retirement saving plan for informal workers?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: Insurance regulator],Insurance regulator
Financial Planning & Retirement,What is a simple retirement saving plan for informal workers? How can I do this cheaply?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: Bank guidance],Bank guidance
Financial Planning & Retirement,What is a simple retirement saving plan for informal workers? Is this available in rural areas?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: FAO],FAO
Financial Planning & Retirement,What is a simple retirement saving plan for informal workers? What should I watch out for?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: CGAP],CGAP
Financial Planning & Retirement,What is a simple retirement saving plan for informal workers? Who can help me with this?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: NGO financial education],NGO financial education
Financial Planning & Retirement,What is an emergency budget?,An emergency budget reduces non-essential spending and prioritizes essentials during income shocks. [Source: Financial education NGOs],General
Financial Planning & Retirement,What is estate planning?,Estate planning arranges how to pass your assets to heirs and may include wills and beneficiaries. [Source: Legal aid/Financial planners],General
Financial Planning & Retirement,What is long-term care planning?,Plan for potential future care needs and how to pay for them through savings or insurance. [Source: Health/pension guidance],General
Financial Planning & Retirement,What is retirement planning?,Retirement planning sets aside money and investments to provide income after you stop working. [Source: Pension authorities],General
Financial Planning & Retirement,When should I start saving for retirement?,Start as early as possible so compound returns have more time to grow your savings. [Source: Financial educators],General
Financial Planning & Retirement,Why review financial plans regularly?,"Life changes like jobs, family, or health affect plans; review yearly or after major events. [Source: Financial advisors]",General
Financial Rights & Regulations,Can regulators help recover stolen funds?,"Regulators can investigate and sometimes order providers to compensate customers, but recovery is not guaranteed. [Source: Consumer protection authority]",General
Financial Rights & Regulations,How do I find official guidance on fees and charges?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: CGAP],CGAP
Financial Rights & Regulations,How do I find official guidance on fees and charges? How can I do this cheaply?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: GSMA],GSMA
Financial Rights & Regulations,How do I find official guidance on fees and charges? Is this available in rural areas?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: Insurance regulator],Insurance regulator
Financial Rights & Regulations,How do I find official guidance on fees and charges? What should I watch out for?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: NGO financial education],NGO financial education
Financial Rights & Regulations,How do I find official guidance on fees and charges? Who can help me with this?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: IMF],IMF
Financial Rights & Regulations,How do I make a formal complaint to a bank?,"Use the bank's complaints process, keep copies of correspondence, and escalate to the regulator if unresolved. [Source: Consumer protection authority]",General
Financial Rights & Regulations,What is a consumer protection authority?,An agency that enforces rules to protect customers from unfair financial practices. [Source: Government regulator],General
Financial Rights & Regulations,What is anti-money laundering (AML)?,AML are rules to stop criminals from hiding or using illegal money through financial services. [Source: Financial Action Task Force],General
Financial Rights & Regulations,What is dispute resolution in finance?,"It is a formal process to settle disagreements between customers and providers, sometimes through arbitration or regulators. [Source: Regulator]",General
Financial Rights & Regulations,What is financial inclusion policy?,Policies aim to give more people access to useful and affordable financial services. [Source: World Bank],General
Financial Rights & Regulations,What is financial supervision?,Supervision monitors financial firms to ensure they follow rules and treat customers fairly. [Source: IMF/World Bank],General
Financial Rights & Regulations,What rights do bank customers have?,"Customers have rights to clear information, fair charges, and complaint mechanisms; check your country's consumer protection rules. [Source: Regulator]",General
Financial Rights & Regulations,Who enforces banking rules and customer rights?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: GSMA],GSMA
Financial Rights & Regulations,Who enforces banking rules and customer rights? How can I do this cheaply?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: CGAP],CGAP
Financial Rights & Regulations,Who enforces banking rules and customer rights? Is this available in rural areas?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: SME guides],SME guides
Financial Rights & Regulations,Who enforces banking rules and customer rights? What should I watch out for?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: Bank guidance],Bank guidance
Financial Rights & Regulations,Who enforces banking rules and customer rights? Who can help me with this?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: Bank guidance],Bank guidance
Financial Rights & Regulations,Who regulates mobile money providers?,Regulators or central banks often set rules for mobile money to protect users and financial stability. [Source: Central Bank guidance],General
Financial Rights & Regulations,Why know your contract rights?,Knowing rights helps you spot unfair terms and defend yourself if problems arise. [Source: Consumer protection groups],General
Fraud Prevention & Scams,How can I protect my PIN?,"Memorize your PIN, shield it when typing, and never share it with anyone. [Source: Bank guidance]",General
Fraud Prevention & Scams,How can I recognize a fake loan offer?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: NGO financial education]",NGO financial education
Fraud Prevention & Scams,How can I recognize a fake loan offer? How can I do this cheaply?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: IFAD]",IFAD
Fraud Prevention & Scams,How can I recognize a fake loan offer? Is this available in rural areas?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Bank guidance]",Bank guidance
Fraud Prevention & Scams,How can I recognize a fake loan offer? What should I watch out for?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Consumer Protection Authority]",Consumer Protection Authority
Fraud Prevention & Scams,How can I recognize a fake loan offer? Who can help me with this?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: CGAP]",CGAP
Fraud Prevention & Scams,How can businesses prevent fraud?,"Use checks and balances, reconcile accounts regularly, and train staff to spot suspicious activity. [Source: SME guidance]",General
Fraud Prevention & Scams,How do I protect myself from investment scams?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: IFC]",IFC
Fraud Prevention & Scams,How do I protect myself from investment scams? How can I do this cheaply?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Mobile operator guidance]",Mobile operator guidance
Fraud Prevention & Scams,How do I protect myself from investment scams? Is this available in rural areas?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: NGO financial education]",NGO financial education
Fraud Prevention & Scams,How do I protect myself from investment scams? What should I watch out for?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Reserve Bank of Malawi]",Reserve Bank of Malawi
Fraud Prevention & Scams,How do I protect myself from investment scams? Who can help me with this?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Insurance regulator]",Insurance regulator
Fraud Prevention & Scams,How do I spot a fake payment request?,"Check if the request matches your recent activity, confirm with the sender through a known channel, and never rush because of pressure. [Source: Bank fraud team]",General
Fraud Prevention & Scams,How do romance scams work?,"Scammers build trust online, then ask for money or gift cards; never send money to someone you haven't met. [Source: Consumer protection]",General
Fraud Prevention & Scams,How do scammers use social media to commit fraud?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Bank guidance]",Bank guidance
Fraud Prevention & Scams,How do scammers use social media to commit fraud? How can I do this cheaply?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: SME guides]",SME guides
Fraud Prevention & Scams,How do scammers use social media to commit fraud? Is this available in rural areas?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Reserve Bank of Malawi]",Reserve Bank of Malawi
Fraud Prevention & Scams,How do scammers use social media to commit fraud? What should I watch out for?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Consumer Protection Authority]",Consumer Protection Authority
Fraud Prevention & Scams,How do scammers use social media to commit fraud? Who can help me with this?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Reserve Bank of Malawi]",Reserve Bank of Malawi
Fraud Prevention & Scams,How to report a scam in Malawi?,"Contact your bank, mobile operator, and the Reserve Bank's consumer line; keep evidence like messages and receipts. [Source: Reserve Bank of Malawi]",General
Fraud Prevention & Scams,What are common signs of a phishing website?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: World Bank]",World Bank
Fraud Prevention & Scams,What are common signs of a phishing website? How can I do this cheaply?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: NGO financial education]",NGO financial education
Fraud Prevention & Scams,What are common signs of a phishing website? Is this available in rural areas?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Bank guidance]",Bank guidance
Fraud Prevention & Scams,What are common signs of a phishing website? What should I watch out for?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: IFAD]",IFAD
Fraud Prevention & Scams,What are common signs of a phishing website? Who can help me with this?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: GSMA]",GSMA
Fraud Prevention & Scams,What is SIM swap protection?,Ask your provider for extra ID checks and alerts when your SIM is moved to a new card to prevent SIM swap theft. [Source: GSMA/CSP guidance],General
Fraud Prevention & Scams,What is chargeback?,A chargeback is a way to dispute a card payment and request a refund through your bank or card issuer. [Source: Card network guides],General
Fraud Prevention & Scams,What is identity verification?,Verification checks documents or data to confirm someone is who they claim to be before providing services. [Source: KYC guidance],General
Fraud Prevention & Scams,What is investment fraud?,Investment fraud offers fake opportunities with high returns to steal money; always check registration and track record. [Source: Regulator],General
Fraud Prevention & Scams,What is social engineering?,Social engineering uses manipulation to trick people into giving confidential information. [Source: Cybersecurity guides],General
Fraud Prevention & Scams,What is vishing?,Vishing is phone-based phishing where scammers call to trick you into revealing secrets or transferring money. [Source: Cybersecurity guidance],General
Fraud Prevention & Scams,What steps should I take if my mobile money is stolen?,Report to your mobile operator and bank immediately and provide evidence like SMS and transaction IDs. [Source: SME guides],SME guides
Fraud Prevention & Scams,What steps should I take if my mobile money is stolen? How can I do this cheaply?,Report to your mobile operator and bank immediately and provide evidence like SMS and transaction IDs. [Source: Central Bank guidance],Central Bank guidance
Fraud Prevention & Scams,What steps should I take if my mobile money is stolen? Is this available in rural areas?,Report to your mobile operator and bank immediately and provide evidence like SMS and transaction IDs. [Source: SME guides],SME guides
Fraud Prevention & Scams,What steps should I take if my mobile money is stolen? What should I watch out for?,Report to your mobile operator and bank immediately and provide evidence like SMS and transaction IDs. [Source: GSMA],GSMA
Fraud Prevention & Scams,What steps should I take if my mobile money is stolen? Who can help me with this?,Report to your mobile operator and bank immediately and provide evidence like SMS and transaction IDs. [Source: NGO financial education],NGO financial education
Fraud Prevention & Scams,What to do if I receive a suspicious SMS?,Do not reply or follow links; check with the provider using official channels and report the message. [Source: Mobile operator/Regulator],General
Fraud Prevention & Scams,Why keep transaction receipts?,Receipts help prove payments and are useful when disputes or fraud investigations happen. [Source: Bank guidance],General
Fraud Prevention & Scams,Why verify URLs before entering details?,Fake websites can steal logins and payment details; always check the web address and look for secure connections. [Source: Cybersecurity guidance],General
Insurance & Risk,How do I file a claim for crop loss?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: Reserve Bank of Malawi],Reserve Bank of Malawi
Insurance & Risk,How do I file a claim for crop loss? How can I do this cheaply?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: IFAD],IFAD
Insurance & Risk,How do I file a claim for crop loss? Is this available in rural areas?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: FAO],FAO
Insurance & Risk,How do I file a claim for crop loss? What should I watch out for?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: Consumer Protection Authority],Consumer Protection Authority
Insurance & Risk,How do I file a claim for crop loss? Who can help me with this?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: IFC],IFC
Insurance & Risk,How does index insurance work?,"Index insurance pays when an index like rainfall or yield falls below a trigger, avoiding individual loss assessment. [Source: IFAD/IFC]",General
Insurance & Risk,What is a claim?,A claim is a request you make to your insurer to pay for a covered loss. [Source: Insurance regulator],General
Insurance & Risk,What is a premium?,"A premium is the amount you pay, often monthly or yearly, for an insurance policy. [Source: Insurer guidance]",General
Insurance & Risk,What is actuarial?,Actuarial work uses data to calculate fair insurance prices and reserves. [Source: Insurance industry],General
Insurance & Risk,What is co-pay in health insurance?,A co-pay is a fixed amount you pay when receiving a medical service. [Source: Health insurer guides],General
Insurance & Risk,What is crop insurance?,Crop insurance helps farmers cover losses from weather or pests for a fee. [Source: Agricultural extension/IFC],General
Insurance & Risk,What is insurance?,Insurance transfers the cost of risk to an insurer in return for regular payments called premiums. [Source: World Bank/IAIS],General
Insurance & Risk,What is life insurance?,Life insurance pays a benefit to your dependents if you die during the policy term. [Source: Insurer guidance],General
Insurance & Risk,What is the difference between life and funeral cover?,Life or funeral cover pays a benefit to named persons; compare premiums and exclusions. [Source: World Bank],World Bank
Insurance & Risk,What is the difference between life and funeral cover? How can I do this cheaply?,Life or funeral cover pays a benefit to named persons; compare premiums and exclusions. [Source: Bank guidance],Bank guidance
Insurance & Risk,What is the difference between life and funeral cover? Is this available in rural areas?,Life or funeral cover pays a benefit to named persons; compare premiums and exclusions. [Source: IFAD],IFAD
Insurance & Risk,What is the difference between life and funeral cover? What should I watch out for?,Life or funeral cover pays a benefit to named persons; compare premiums and exclusions. [Source: IFC],IFC
Insurance & Risk,What is the difference between life and funeral cover? Who can help me with this?,Life or funeral cover pays a benefit to named persons; compare premiums and exclusions. [Source: Consumer Protection Authority],Consumer Protection Authority
Insurance & Risk,What is underwriting?,Underwriting is how insurers assess risk to decide price and coverage. [Source: Insurance industry],General
Insurance & Risk,What kinds of insurance can small farmers get?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: Insurance regulator],Insurance regulator
Insurance & Risk,What kinds of insurance can small farmers get? How can I do this cheaply?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: FAO],FAO
Insurance & Risk,What kinds of insurance can small farmers get? Is this available in rural areas?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: IFC],IFC
Insurance & Risk,What kinds of insurance can small farmers get? What should I watch out for?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: Central Bank guidance],Central Bank guidance
Insurance & Risk,What kinds of insurance can small farmers get? Who can help me with this?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: IFAD],IFAD
Insurance & Risk,Why read policy exclusions?,Exclusions list what the insurer will not cover; know them to avoid surprises at claim time. [Source: Insurance regulator],General
Investing basics,How do inflation and interest affect my savings?,Inflation reduces buying power; aim for a mix of instruments that can keep pace with inflation. [Source: IFAD],IFAD
Investing basics,How do inflation and interest affect my savings? How can I do this cheaply?,Inflation reduces buying power; aim for a mix of instruments that can keep pace with inflation. [Source: Reserve Bank of Malawi],Reserve Bank of Malawi
Investing basics,How do inflation and interest affect my savings? Is this available in rural areas?,Inflation reduces buying power; aim for a mix of instruments that can keep pace with inflation. [Source: Reserve Bank of Malawi],Reserve Bank of Malawi
Investing basics,How do inflation and interest affect my savings? What should I watch out for?,Inflation reduces buying power; aim for a mix of instruments that can keep pace with inflation. [Source: Central Bank guidance],Central Bank guidance
Investing basics,How do inflation and interest affect my savings? Who can help me with this?,Inflation reduces buying power; aim for a mix of instruments that can keep pace with inflation. [Source: CGAP],CGAP
Investing basics,How much should beginners invest?,"Start small, learn, and avoid risking money you need for essential expenses. [Source: Financial educators]",General
Investing basics,Is it safe to invest small amounts in a savings group?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: World Bank]",World Bank
Investing basics,Is it safe to invest small amounts in a savings group? How can I do this cheaply?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: IFAD]",IFAD
Investing basics,Is it safe to invest small amounts in a savings group? Is this available in rural areas?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: Reserve Bank of Malawi]",Reserve Bank of Malawi
Investing basics,Is it safe to invest small amounts in a savings group? What should I watch out for?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: IFC]",IFC
Investing basics,Is it safe to invest small amounts in a savings group? Who can help me with this?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: Bank guidance]",Bank guidance
Investing basics,What are investment risks?,"Risks include losing money, inflation reducing value, and poor management of investments. [Source: Investor education]",General
Investing basics,What are low-risk investment options for beginners?,Low-risk options include some government bonds or diversified funds; check access and minimums. [Source: NGO financial education],NGO financial education
Investing basics,What are low-risk investment options for beginners? How can I do this cheaply?,Low-risk options include some government bonds or diversified funds; check access and minimums. [Source: GSMA],GSMA
Investing basics,What are low-risk investment options for beginners? Is this available in rural areas?,Low-risk options include some government bonds or diversified funds; check access and minimums. [Source: NGO financial education],NGO financial education
Investing basics,What are low-risk investment options for beginners? What should I watch out for?,Low-risk options include some government bonds or diversified funds; check access and minimums. [Source: Bank guidance],Bank guidance
Investing basics,What are low-risk investment options for beginners? Who can help me with this?,Low-risk options include some government bonds or diversified funds; check access and minimums. [Source: IMF],IMF
Investing basics,What is a bond?,A bond is a loan you give to a government or company that pays interest over time. [Source: Investing primers],General
Investing basics,What is a mutual fund?,A mutual fund pools many investors' money to buy a diverse portfolio managed by professionals. [Source: Fund managers],General
Investing basics,What is a pension fund?,A pension fund saves and invests money to pay people after retirement. [Source: Pension regulator],General
Investing basics,What is a stock?,A stock represents a share in a company and may pay dividends or change in value. [Source: Investing primers],General
Investing basics,What is compound return?,"Compound return means you earn returns on both your original investment and previous returns, growing wealth faster over time. [Source: Financial literacy guides]",General
Investing basics,What is diversification?,Diversification means spreading money across several investments to reduce risk. [Source: IFC/Investing guides],General
Investing basics,What is liquidity?,Liquidity is how quickly you can turn an investment into cash without large loss of value. [Source: Investing guides],General
Investing basics,Why avoid get-rich-quick schemes?,"If returns sound too high and guaranteed, it is likely a scam; always research carefully. [Source: Consumer protection authority]",General
Small Business & Farming Finance,How can I manage cash flow shortages?,"Negotiate payment terms, reduce non-essential spending, and look for short-term finance like overdrafts. [Source: SME guides]",General
Small Business & Farming Finance,How can I save for seasonal expenses?,Use sinking funds or short-term savings to set money aside for slow seasons and planting. [Source: Agricultural extension],General
Small Business & Farming Finance,How can I start saving for my business?,"Separate business and personal money, set small goals, and keep a simple record of income and expenses. [Source: SME guides]",General
Small Business & Farming Finance,How can cooperatives help farmers access finance?,"Cooperatives pool members to access finance, bulk inputs, and better prices. [Source: Central Bank guidance]",Central Bank guidance
Small Business & Farming Finance,How can cooperatives help farmers access finance? How can I do this cheaply?,"Cooperatives pool members to access finance, bulk inputs, and better prices. [Source: Central Bank guidance]",Central Bank guidance
Small Business & Farming Finance,How can cooperatives help farmers access finance? Is this available in rural areas?,"Cooperatives pool members to access finance, bulk inputs, and better prices. [Source: Mobile operator guidance]",Mobile operator guidance
Small Business & Farming Finance,How can cooperatives help farmers access finance? What should I watch out for?,"Cooperatives pool members to access finance, bulk inputs, and better prices. [Source: IMF]",IMF
Small Business & Farming Finance,How can cooperatives help farmers access finance? Who can help me with this?,"Cooperatives pool members to access finance, bulk inputs, and better prices. [Source: World Bank]",World Bank
Small Business & Farming Finance,How can farmers access credit?,"Farmers may use cooperatives, microfinance, or agri-loans that consider seasonal income. [Source: FAO/IFAD]",General
Small Business & Farming Finance,How do I budget for planting season costs?,"Estimate input costs, set aside a contingency, and save regularly during harvest to cover planting. [Source: CGAP]",CGAP
Small Business & Farming Finance,How do I budget for planting season costs? How can I do this cheaply?,"Estimate input costs, set aside a contingency, and save regularly during harvest to cover planting. [Source: Insurance regulator]",Insurance regulator
Small Business & Farming Finance,How do I budget for planting season costs? Is this available in rural areas?,"Estimate input costs, set aside a contingency, and save regularly during harvest to cover planting. [Source: IFC]",IFC
Small Business & Farming Finance,How do I budget for planting season costs? What should I watch out for?,"Estimate input costs, set aside a contingency, and save regularly during harvest to cover planting. [Source: IFC]",IFC
Small Business & Farming Finance,How do I budget for planting season costs? Who can help me with this?,"Estimate input costs, set aside a contingency, and save regularly during harvest to cover planting. [Source: IFAD]",IFAD
Small Business & Farming Finance,How do I price my product or service?,"Calculate costs, add a fair margin, and check local market prices to set a competitive price. [Source: SME toolkit]",General
Small Business & Farming Finance,How to estimate profit margins for small businesses?,Subtract total costs from sales and divide by sales to get a margin; track regularly to adjust prices. [Source: World Bank],World Bank
Small Business & Farming Finance,How to estimate profit margins for small businesses? How can I do this cheaply?,Subtract total costs from sales and divide by sales to get a margin; track regularly to adjust prices. [Source: Mobile operator guidance],Mobile operator guidance
Small Business & Farming Finance,How to estimate profit margins for small businesses? Is this available in rural areas?,Subtract total costs from sales and divide by sales to get a margin; track regularly to adjust prices. [Source: Bank guidance],Bank guidance
Small Business & Farming Finance,How to estimate profit margins for small businesses? What should I watch out for?,Subtract total costs from sales and divide by sales to get a margin; track regularly to adjust prices. [Source: Consumer Protection Authority],Consumer Protection Authority
Small Business & Farming Finance,How to estimate profit margins for small businesses? Who can help me with this?,Subtract total costs from sales and divide by sales to get a margin; track regularly to adjust prices. [Source: FAO],FAO
Small Business & Farming Finance,What is a business plan?,"A business plan explains what your business will do, how it will make money, and how much it needs to start. [Source: SME guidance]",General
Small Business & Farming Finance,What is cost-benefit analysis?,It compares the expected benefits of a decision to its costs to help choose profitable actions. [Source: Business training],General
Small Business & Farming Finance,What is inventory management?,"Inventory management tracks stock to avoid shortages and waste, improving cash flow. [Source: Business training]",General
Small Business & Farming Finance,What is working capital?,Working capital is the money a business needs to run daily operations like buying stock and paying staff. [Source: SME finance guides],General
Small Business & Farming Finance,What records should small shops keep for a loan?,Keep simple sales and expense records to show cash flow and support loan applications. [Source: IFAD],IFAD
Small Business & Farming Finance,What records should small shops keep for a loan? How can I do this cheaply?,Keep simple sales and expense records to show cash flow and support loan applications. [Source: Mobile operator guidance],Mobile operator guidance
Small Business & Farming Finance,What records should small shops keep for a loan? Is this available in rural areas?,Keep simple sales and expense records to show cash flow and support loan applications. [Source: World Bank],World Bank
