question,answer,original_question,original_answer,quality_score_q,quality_score_a,avg_quality,language,category
Kodi ndingawone bwanji pempho labodza?,"Onani ngati pempho likugwirizana ndi zomwe mwakhala posachedwa, tsimikizani ndi wotumiza kudzera mu njira yodziwika, osathamangira chifukwa cha zovuta. [Duwerurani: banki Friud Team]",How do I spot a fake payment request?,"Check if the request matches your recent activity, confirm with the sender through a known channel, and never rush because of pressure. [Source: Bank fraud team]",0.44999999999999996,0.5840000000000001,0.517,Chichewa,Fraud Prevention & Scams
Kodi chikhalidwe cha anthu ndi chiani?,Ukadaulo wapadera umagwiritsa ntchito kupusitsa anthu kuti apereke chinsinsi. [Gwero: Malangizo oyendayenda],What is social engineering?,Social engineering uses manipulation to trick people into giving confidential information. [Source: Cybersecurity guides],0.5,0.2571428571428571,0.37857142857142856,Chichewa,Fraud Prevention & Scams
Chifukwa chiyani kutsimikizira ma URL musanalowe nawo zambiri?,Masamba abodza amatha kuba zinthu zotsala ndi zolipira; Nthawi zonse muziyang'ana adilesi ya intaneti ndikuyang'ana kulumikizana kwachitetezo. [Dzuwa: Kuwongolera kwa Kukhazikika],Why verify URLs before entering details?,Fake websites can steal logins and payment details; always check the web address and look for secure connections. [Source: Cybersecurity guidance],0.7,0.7,0.7,Chichewa,Fraud Prevention & Scams
Kodi chinyengo ndi chiyani?,Chinyengo chazachinyengo chimapereka mwayi wabodza wobwerera kwambiri kuti aba ndalama; Nthawi zonse muziyang'ana kulembetsa ndi mbiri ya Tsamba. [Gwero: Wogulitsa],What is investment fraud?,Investment fraud offers fake opportunities with high returns to steal money; always check registration and track record. [Source: Regulator],0.5833333333333333,0.5789473684210527,0.581140350877193,Chichewa,Fraud Prevention & Scams
Kodi ndingateteze bwanji pini yanga?,"Lowezani pini yanu, ndikutchinjiriza mukamalemba, osagawana ndi wina aliyense. [Dzuwa: Chitsogozo cha banki]",How can I protect my PIN?,"Memorize your PIN, shield it when typing, and never share it with anyone. [Source: Bank guidance]",1.0,0.76,0.88,Chichewa,Fraud Prevention & Scams
Zoyenera kuchita ngati ndilandira SMS yokayikitsa?,Osayankha kapena kutsatira maulalo; Yang'anani ndi wopereka pogwiritsa ntchito njira zovomerezeka ndikufotokozerani uthengawo. [Zolimbikitsa: Ogwira Ntchito / Wothandizira],What to do if I receive a suspicious SMS?,Do not reply or follow links; check with the provider using official channels and report the message. [Source: Mobile operator/Regulator],0.7333333333333334,0.6421052631578947,0.6877192982456141,Chichewa,Fraud Prevention & Scams
Kodi chitetezo cha sim ndi chiyani?,Funsani wopereka wanu kuti awone macheke owonjezera a ID ndi zidziwitso mukasunthidwa ku khadi yatsopano kuti simmangu. [Gwero: GSP / CPS],What is SIM swap protection?,Ask your provider for extra ID checks and alerts when your SIM is moved to a new card to prevent SIM swap theft. [Source: GSMA/CSP guidance],0.88,0.48695652173913045,0.6834782608695652,Chichewa,Fraud Prevention & Scams
Kodi chinyengo cha chikondi chimagwira ntchito bwanji?,"Ma scammers amalimbitsa chidaliro pa intaneti, kenako pemphani ndalama kapena ndalama; Osatumiza ndalama kwa munthu amene simunakumanepo. [Gwero: Chitetezo cha Ogula]",How do romance scams work?,"Scammers build trust online, then ask for money or gift cards; never send money to someone you haven't met. [Source: Consumer protection]",0.24,0.9142857142857143,0.5771428571428572,Chichewa,Fraud Prevention & Scams
Chifukwa chiyani sungani ma risiti ogulitsa?,Malipiro amathandizira kulipira ndalama ndipo ndizothandiza pakamamva mikangano kapena kufufuza kwachinyengo kumachitika. [Dzuwa: Chitsogozo cha banki],Why keep transaction receipts?,Receipts help prove payments and are useful when disputes or fraud investigations happen. [Source: Bank guidance],0.6499999999999999,0.7325,0.6912499999999999,Chichewa,Fraud Prevention & Scams
Kodi ndi chiyani?,Kuwongolera ndi njira yopezera ndalama zolipirira makhadi ndikupempha kuti mubweze ku banki yanu kapena kirediti. [Zoyambitsa: Makadi a Card Network],What is chargeback?,A chargeback is a way to dispute a card payment and request a refund through your bank or card issuer. [Source: Card network guides],0.6,0.6842105263157895,0.6421052631578947,Chichewa,Fraud Prevention & Scams
Kodi mabizinesi angalepheretse bwanji zachinyengo?,"Gwiritsani ntchito macheke ndi ma Chekes, zogwirizanitsa maakaunti pafupipafupi, komanso kuphunzitsa antchito kuti athe kuwona zokayikitsa. [Gwero: SM SMTOMCE]",How can businesses prevent fraud?,"Use checks and balances, reconcile accounts regularly, and train staff to spot suspicious activity. [Source: SME guidance]",1.0,0.7375,0.86875,Chichewa,Fraud Prevention & Scams
Kodi chizindikiritso chimatsimikizira chiyani?,Kutsimikizira zolemba kapena deta kuti mutsimikizire wina ndi ndani yemwe amadzinenera kuti ali asanapereke chithandizo. [Gwero: KYC Chitsogozo],What is identity verification?,Verification checks documents or data to confirm someone is who they claim to be before providing services. [Source: KYC guidance],0.35,0.6105263157894737,0.48026315789473684,Chichewa,Fraud Prevention & Scams
Kodi munganene bwanji chinyengo m'Malawi?,"Lumikizanani ndi banki yanu, woyang'anira mafoni, ndi mzere wosungirako atoma; Sungani umboni ngati mauthenga ndi ma risiti. [Zoyambitsa: Reserve banki of Malawi]",How to report a scam in Malawi?,"Contact your bank, mobile operator, and the Reserve Bank's consumer line; keep evidence like messages and receipts. [Source: Reserve Bank of Malawi]",0.2571428571428571,0.85,0.5535714285714286,Chichewa,Fraud Prevention & Scams
Kodi ma crrncy ndi chiyani?,Akaunti imakhala yovuta pambuyo osagwira ntchito nthawi yayitali; Banks imatha kuzengereze kuwulutsa mpaka mutachilemba. [Zoyambitsa: Malamulo a banki],What is account dormancy?,An account becomes dormant after long inactivity; banks may freeze transactions until you reactivate it. [Source: Bank rules],0.3,0.6333333333333333,0.4666666666666667,Chichewa,Banking & Mobile Money
Kodi ndimasintha bwanji pinki yanga yam'manja mosamala?,"Gwiritsani ntchito yovomerezeka kapena yoyenda, osagawana pini yatsopano ndi wina aliyense. [Zolimbikitsa: Ogwiritsa ntchito mafoni]",How do I change my mobile money PIN safely?,"Use the official USSD or app flow, and never share the new PIN with anyone. [Source: Mobile operator]",0.6666666666666667,0.7529411764705882,0.7098039215686275,Chichewa,Banking & Mobile Money
Chitsimikizo cha magawo awiri ndi chiani cha ndalama zam'manja?,Pamafunika pini kuphatikizanso gawo lina ngati OTP kapena biometrics kuti mutsimikizire zochitika. [Gwero: GSMA / Ogwira],What is two-step verification for mobile money?,It requires a PIN plus another step like OTP or biometrics to confirm transactions. [Source: GSMA/Operators],0.8285714285714285,0.8875,0.8580357142857142,Chichewa,Banking & Mobile Money
Kodi ndingalumikizane ndi akaunti yakubanki kupita ku ndalama zam'manja?,Ntchito zambiri zimakulolani kuti muzilumikizana ndi akaunti kuti musunthire ndalama mosavuta; Onani ndalama ndi chitetezo poyamba. [Zoyambitsa: banki & Othandizira],Can I link a bank account to mobile money?,Many services let you link accounts to move money easily; check fees and security first. [Source: Bank & operator guides],0.9333333333333333,0.66,0.7966666666666666,Chichewa,Banking & Mobile Money
Kodi chimandiyanjidwa mu ndalama zam'manja?,Woyandama ndi oyang'anira okwera mosamala kuti awonetsetse ndalama ndi madzi ogulitsira. [Zosangalatsa: Wogwiritsa ntchito ndalama],What is float in mobile money?,Float is the balance providers keep to ensure cash-out and liquidity for transactions. [Source: Mobile money operator],0.6,0.32705882352941174,0.46352941176470586,Chichewa,Banking & Mobile Money
Kodi ndimateteza bwanji Smartphone yanga ya Banking?,"Gwiritsani ntchito malowa, sungani mapulogalamu osinthidwa, ndipo pewani kukhazikitsa mapulogalamu kuchokera ku magwero osadziwika. [Dzuwa: Kuwongolera kwa Kukhazikika]",How do I protect my smartphone for banking apps?,"Use screen locks, keep software updated, and avoid installing apps from unknown sources. [Source: Cybersecurity guidance]",0.8666666666666667,0.375,0.6208333333333333,Chichewa,Banking & Mobile Money
Kodi malire otani?,Othandizira amakhazikitsa tsiku lililonse kapena pamwezi pa zomwe amasintha kuti atetezere makasitomala ndikuwongolera chiwopsezo. [Zoyambitsa: Ogwiritsa ntchito / a banki],What is a transaction limit?,Providers set daily or monthly caps on transfers to protect customers and manage risk. [Source: Operator/Bank policies],0.12,0.7882352941176471,0.45411764705882357,Chichewa,Banking & Mobile Money
Kodi ndalama ndi chiyani?,Cashback ndi mphotho yomwe peresenti ya ndalama yanu imabwezeretsedwanso ku akaunti yanu. [Zochititsane: Banki / Pulogalamu Yotsogolera],What is cashback?,Cashback is a reward where a percentage of your spending is returned to your account. [Source: Bank/program guides],0.39999999999999997,0.8,0.6,Chichewa,Banking & Mobile Money
Kodi ndimatsegula bwanji akaunti yolumikizana?,Omwe ali ndi akaunti yonseyi nthawi zambiri amapereka ID ndikusainira mafomu otsegulira akaunti; malamulo amasiyanasiyana kubanki. [Dzuwa: Chitsogozo cha banki],How do I open a joint account?,Both account holders usually provide ID and sign the account opening forms; rules vary by bank. [Source: Bank guidance],0.9142857142857143,0.8333333333333333,0.8738095238095238,Chichewa,Banking & Mobile Money
Kodi kusagwirizana ndi ndalama zam'manja ndi chiyani?,Kuchita zibwenzi zimapangitsa ogwiritsa ntchito kutumiza ndalama pakati pa opereka kapena mabanki mosavuta. [Zoyambitsa: Central banki / GSma],What is interoperability in mobile money?,Interoperability lets users send money between different providers or banks easily. [Source: Central Bank/GSMA],0.6,0.7428571428571429,0.6714285714285715,Chichewa,Banking & Mobile Money
Kodi Kupuma Kumapuma Pamafunika Chiyani?,Kupuma pantchito kumakhazikitsa ndalama ndi ndalama zoperekera ndalama mukamasiya kugwira ntchito. [Gwero: Akuluakulu Penshoni],What is retirement planning?,Retirement planning sets aside money and investments to provide income after you stop working. [Source: Pension authorities],0.5,0.21176470588235294,0.3558823529411765,Chichewa,Financial Planning & Retirement
Kodi ndiyenera kuyamba liti kupulumutsa pantchito?,Yambani molawirira mochedwa momwe mungabwererenso ndalama zambiri zimakhala ndi nthawi yambiri yokulitsa ndalama zanu. [Dzuwa: Ophunzitsa Zachuma],When should I start saving for retirement?,Start as early as possible so compound returns have more time to grow your savings. [Source: Financial educators],0.9142857142857143,0.3176470588235294,0.6159663865546219,Chichewa,Financial Planning & Retirement
Kodi mphotho ya penshoni ndi chiyani?,Cholinga cha penshoni ndi ndalama zomwe mumapanga kapena abwana anu amaika ndalama zopuma pantchito. [Gwero: Penshoni Utumiki Woyang'anira],What is a pension contribution?,A pension contribution is money you or your employer put into a retirement fund. [Source: Pension regulator],0.56,0.8,0.68,Chichewa,Financial Planning & Retirement
Kodi ndimayesetsa bwanji kupuma pantchito?,"Onaninso zodumpha wamtsogolo, lingalirani zambiri, ndipo konzani zokonzekera zaumoyo ndi zadzidzidzi. [Dumbi: Malangizo Okonzekera Zachuma]",How do I estimate retirement needs?,"Estimate future expenses, consider inflation, and plan for healthcare and emergencies. [Source: Financial planning guides]",0.5,0.1714285714285714,0.3357142857142857,Chichewa,Financial Planning & Retirement
Kodi Kukonzekera Ntchito Ndi Chiyani?,Makonzedwe akonza momwe angaperekere chuma chanu kwa olowa m'malo ndipo angaphatikizeponso adzalandira. [Zosangalatsa: Okonzanso Othandizira / Okonza Ndalama],What is estate planning?,Estate planning arranges how to pass your assets to heirs and may include wills and beneficiaries. [Source: Legal aid/Financial planners],0.6499999999999999,0.5,0.575,Chichewa,Financial Planning & Retirement
Kodi Ndingatetezere Bwanji Kuchuluka?,"Ganizirani zosakanikirana ndi ndalama zomwe zili pamkale pake, monga zomangira zina kapena zinthu zina. [DuntS: Offices]",How can I protect savings from inflation?,"Consider a mix of savings and investments that historically outpace inflation, like certain bonds or diversified assets. [Source: Invest guides]",0.47619047619047616,0.32,0.39809523809523806,Chichewa,Financial Planning & Retirement
Kodi Kukonzekera Kwakale Kumakhala Chiyani?,Konzani zofunikira zamtsogolo ndi momwe mungalipire kudzera mu ndalama kapena inshuwaransi. [Gwero: Thandizo / Thansti la Penshoni],What is long-term care planning?,Plan for potential future care needs and how to pay for them through savings or insurance. [Source: Health/pension guidance],0.56,0.5333333333333333,0.5466666666666666,Chichewa,Financial Planning & Retirement
Chifukwa chiyani kuwunika makanema pafupipafupi?,"Moyo umasintha ngati ntchito, banja, kapena thanzi limakhudza mapulani; Unikani pachaka kapena pambuyo pa zochitika zazikulu. [Gwero: Alangizi azachuma]",Why review financial plans regularly?,"Life changes like jobs, family, or health affect plans; review yearly or after major events. [Source: Financial advisors]",0.56,0.6588235294117646,0.6094117647058823,Chichewa,Financial Planning & Retirement
Kodi bajeti yadzidzidzi ndi iti?,Bajeti yadzidzidzi imachepetsa kuthengo kosafunikira komanso kumalinganiza kofunikira panthawi yopeza ndalama. [Zolimbikitsa: Maphunziro azachuma],What is an emergency budget?,An emergency budget reduces non-essential spending and prioritizes essentials during income shocks. [Source: Financial education NGOs],0.88,0.3875,0.63375,Chichewa,Financial Planning & Retirement
Kodi ndingasiye bwanji cholowa chandalama?,"Gwiritsani ntchito zimphona zodziwikiratu, zopindulitsa, ndi malangizo osavuta, olowa m'malo amatha kupeza chuma chochepa. [Zosangalatsa: Malangizo Amiyala / Ndalama]",How can I leave a financial legacy?,"Use clear wills, named beneficiaries, and simple instructions so heirs can access assets with minimal delay. [Source: Legal/financial guidance]",0.8,0.3263157894736842,0.5631578947368421,Chichewa,Financial Planning & Retirement
Ndani amapangira malamulo obanki ndi ufulu wa makasitomala?,Yang'anani Authority kapena Ogwiritsa Ntchito chitetezo choteteza boma ndi kudandaula. [Gwero: GSMA],Who enforces banking rules and customer rights?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: GSMA],0.7428571428571429,0.7375,0.7401785714285715,Chichewa,Financial Rights & Regulations
Ndi zinthu ziti zomwe ndiyenera kutenga ngati ndalama zanga zam'manja zabedwa?,Nenani kwa wogwiritsa ntchito mafoni anu ndi banki nthawi yomweyo ndikupereka umboni ngati ma SMS ndi ID. [Zogwedetsa: SM Mtsogoleri],What steps should I take if my mobile money is stolen?,Report to your mobile operator and bank immediately and provide evidence like SMS and transaction IDs. [Source: SME guides],0.8909090909090909,0.5529411764705883,0.7219251336898396,Chichewa,Fraud Prevention & Scams
Kodi kuli kotetezeka kuwerengera ndalama zazing'ono mu gulu losunga ndalama?,"Funsani mawu omveka bwino, sungani umboni wa zochitika, ndipo gwiritsani ntchito njira zovomerezeka. [Gwero: banki World]",Is it safe to invest small amounts in a savings group?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: World Bank]",0.6363636363636364,0.575,0.6056818181818182,Chichewa,Investing basics
Kodi ndimayang'ana bwanji ndalama zanga zam'manja?,Chongani pogwiritsa ntchito pulogalamu yovomerezeka kapena nambala ya USD ndikusunga ma sms kuchenjeza kuti mutsimikizire zochitika. [Gwero: banki World],How do I check my mobile money balance safely?,Check using the official app or USSD code and keep SMS alerts active to confirm transactions. [Source: World Bank],0.6,0.9052631578947368,0.7526315789473683,Chichewa,Banking & Mobile Money
Kodi pali kusiyana kotani pakati pa moyo ndi maliro?,Moyo kapena chivundikiro pamalipiro amalipira anthu otchedwa anthu; Fananizani ndalama ndi zotumphukira. [Gwero: banki World],What is the difference between life and funeral cover?,Life or funeral cover pays a benefit to named persons; compare premiums and exclusions. [Source: World Bank],0.4666666666666667,0.7176470588235294,0.592156862745098,Chichewa,Insurance & Risk
Kodi ndingapewe bwanji kugwa mu msampha? Kodi ndiyenera kusamalira chiyani?,"Kubwereka zomwe mungabwezere, werengani mawu, ndipo pewani obwereketsa ndi malonjezo osatheka. [Gwero: GSMA]",How can I avoid falling into a debt trap? What should I watch out for?,"Borrow only what you can repay, read terms, and avoid lenders with unrealistic promises. [Source: GSMA]",0.38571428571428573,0.9625,0.6741071428571429,Chichewa,Credit & Loans
Kodi ndimawerenga bwanji mgwirizano wobwereketsa?,"Funsani mawu omveka bwino, sungani umboni wa zochitika, ndipo gwiritsani ntchito njira zovomerezeka. [Gwero: Fao]",How do I read a loan contract properly?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: FAO]",0.3,0.36,0.32999999999999996,Chichewa,Consumer Protection & Fraud Awareness
Kodi ndikupenda bwanji mkangano ndi banki?,"Funsani mawu omveka bwino, sungani umboni wa zochitika, ndipo gwiritsani ntchito njira zovomerezeka. [Dzuwa: Ogwiritsa Ntchito Ogula]",How do I escalate a dispute with a bank?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: Consumer Protection Authority]",0.925,0.2823529411764706,0.6036764705882354,Chichewa,Consumer Protection & Fraud Awareness
Kodi ndimalumikiza bwanji akaunti yanga ya banki kupita ku ndalama zam'manja?,Kulumikizana kumapangitsa kusiyanasiyana; Tsimikizani njirayi ndi banki yanu ndikuyang'ana ngongole yaying'ono. [Gwero: NGO Phunziro lazachuma],How do I link my bank account to mobile money?,Linking makes transfers easy; confirm the procedure with your bank and watch for small test debits. [Source: NGO financial education],1.0,0.67,0.835,Chichewa,Banking & Mobile Money
Kodi ndimapeza bwanji chitsogozo chaboma pa chindapusa ndi milandu? Ndani angandithandizire ndi izi?,Yang'anani Authority kapena Ogwiritsa Ntchito chitetezo choteteza boma ndi kudandaula. [Zoyambitsa: IMF],How do I find official guidance on fees and charges? Who can help me with this?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: IMF],0.6875,0.7375,0.7125,Chichewa,Financial Rights & Regulations
Kodi ndi ziti zomwe zingapulumuke kuwononga mabanja?,"Yambani zing'onozing'ono, khalani ndi zolinga zomveka bwino, ndipo sungani ndalama zolekanitsa kuti musagwiritse ntchito molakwika. [Gwero: NGO Phunziro lazachuma]",What are affordable saving habits for families?,"Start small, set clear goals, and keep savings separate to avoid spending them by mistake. [Source: NGO financial education ]",0.1714285714285714,0.27,0.2207142857142857,Chichewa,Budgeting & Saving
Kodi Ndingazindikire Bwanji Ngongole Yabodza? Kodi izi zikupezeka kumidzi?,"Ngati atapempha ndalama zakutsogolo kapena kwanu, mwina ndi vuto; Tsimikizani kudzera munjira zovomerezeka ndipo musathamangire. [Dzuwa: Chitsogozo cha banki]",How can I recognize a fake loan offer? Is this available in rural areas?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Bank guidance]",0.8714285714285714,0.5205128205128204,0.6959706959706959,Chichewa,Fraud Prevention & Scams
Zoyenera kuchita ngati ntchito ikundiweruza kuti ndi ndalama zopanda chilungamo? Kodi ndiyenera kusamalira chiyani?,"Funsani mawu omveka bwino, sungani umboni wa zochitika, ndipo gwiritsani ntchito njira zovomerezeka. [Dzuwa: Chitsogozo cha banki]",What to do if a service charges me unfair fees? What should I watch out for?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: Bank guidance]",0.48,0.5,0.49,Chichewa,Consumer Protection & Fraud Awareness
Kodi kugwiritsa ntchito intaneti kuli kotetezeka bwanji?,Pewani zochitika zamalonda pa Wi-Fi; Gwiritsani ntchito deta yam'manja kapena vpn ndikusintha mapulogalamu pafupipafupi. [Dzuwa: Ogwiritsa Ntchito Ogula],How safe is using public Wi-Fi for banking?,Avoid sensitive transactions on public Wi-Fi; use mobile data or a VPN and update apps regularly. [Source: Consumer Protection Authority],0.425,0.39,0.4075,Chichewa,Digital Financial Literacy
Ndi zinthu ziti zomwe ndiyenera kutenga ngati ndalama zanga zam'manja zabedwa? Kodi izi zikupezeka kumidzi?,Nenani kwa wogwiritsa ntchito mafoni anu ndi banki nthawi yomweyo ndikupereka umboni ngati ma SMS ndi ID. [Zogwedetsa: SM Mtsogoleri],What steps should I take if my mobile money is stolen? Is this available in rural areas?,Report to your mobile operator and bank immediately and provide evidence like SMS and transaction IDs. [Source: SME guides],0.925,0.5529411764705883,0.7389705882352942,Chichewa,Fraud Prevention & Scams
Kodi Maofesi Amafuna Bwanji Kuti Alimi Apeze Zachuma?,"Makamaka mamembala a Pool kuti mupeze ndalama, zopereka zambiri, komanso mitengo yabwino. [Dzuwa: Chitsogozo cha banki banki]",How can cooperatives help farmers access finance?,"Cooperatives pool members to access finance, bulk inputs, and better prices. [Source: Central Bank guidance]",0.37142857142857144,0.64,0.5057142857142858,Chichewa,Small Business & Farming Finance
Zoyenera kuchita ngati ntchito ikundiweruza kuti ndi ndalama zopanda chilungamo? Kodi izi zikupezeka kumidzi?,"Funsani mawu omveka bwino, sungani umboni wa zochitika, ndipo gwiritsani ntchito njira zovomerezeka. [Zogwedetsa: SM Mtsogoleri]",What to do if a service charges me unfair fees? Is this available in rural areas?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: SME guides]",0.6125,0.2625,0.4375,Chichewa,Consumer Protection & Fraud Awareness
Kodi ndimapeza bwanji chitsogozo chaboma pa chindapusa ndi milandu? Kodi ndingachite bwanji izi zotsika mtengo?,Yang'anani Authority kapena Ogwiritsa Ntchito chitetezo choteteza boma ndi kudandaula. [Gwero: GSMA],How do I find official guidance on fees and charges? How can I do this cheaply?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: GSMA],0.6615384615384616,0.7375,0.6995192307692308,Chichewa,Financial Rights & Regulations
Kodi kutumphuka ndi chidwi zimasokoneza bwanji ndalama zanga?,Kukwera kumachepetsa kugula mphamvu; Cholinga cha zida zosakanikirana zomwe zimatha kusamala ndi kuchuluka kwake. [Gwero: IFID],How do inflation and interest affect my savings?,Inflation reduces buying power; aim for a mix of instruments that can keep pace with inflation. [Source: IFAD],0.5083333333333333,0.3666666666666667,0.4375,Chichewa,Investing basics
Kodi pulani yosavuta yopuma pantchito yanji? Kodi ndiyenera kusamalira chiyani?,Cholinga chosunga gawo lokhazikika la ndalama; Sungani ndalama ndikuwunika pachaka. [Gwero: CGAPE],What is a simple retirement saving plan for informal workers? What should I watch out for?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: CGAP],0.27999999999999997,0.56,0.42000000000000004,Chichewa,Financial Planning & Retirement
Kodi ndalama zotsika kwambiri ndi ziti?,Zosankha zotsika kwambiri zimaphatikizapo zomangira za boma kapena ndalama zopangidwa; Chongani mwayi ndi zochepa. [Gwero: NGO Phunziro lazachuma],What are low-risk investment options for beginners?,Low-risk options include some government bonds or diversified funds; check access and minimums. [Source: NGO financial education],0.0857142857142857,0.4823529411764706,0.28403361344537814,Chichewa,Investing basics
Kodi ndimapangira bwanji kubzala mtengo? Kodi izi zikupezeka kumidzi?,"Kuwerengera ndalama, kupatula pasanjidwe, ndikusunga pafupipafupi pokolola kubzala. [Gwero: IFC]",How do I budget for planting season costs? Is this available in rural areas?,"Estimate input costs, set aside a contingency, and save regularly during harvest to cover planting. [Source: IFC]",0.38571428571428573,0.10588235294117647,0.2457983193277311,Chichewa,Small Business & Farming Finance
Kodi Ndingayambe Bwanji Bajeti Yanyumba?,"Pangani mndandanda wosavuta wa ndalama ndi ndalama zolipirira, ikani zinthu zofunika kwambiri nthawi zonse mukalandira ndalama. [Source: Wothandizira inshuwaransi]",How can I start a household budget?,"Make a simple list of income and expenses, set priorities, and save a small fixed amount every time you receive money. [Source: Insurance regulator ]",0.8285714285714285,0.711304347826087,0.7699378881987577,Chichewa,Budgeting & Saving
Kodi ndimapeza bwanji chitsogozo chaboma pa chindapusa ndi milandu?,Yang'anani Authority kapena Ogwiritsa Ntchito chitetezo choteteza boma ndi kudandaula. [Gwero: CGAPE],How do I find official guidance on fees and charges?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: CGAP],0.62,0.7,0.6599999999999999,Chichewa,Financial Rights & Regulations
Ndi mitundu yanji ya inshuwaransi yomwe alimi ang'onoang'ono amakhala?,Index kapena inshuwaransi yamagulu imatha kukhala yotsika mtengo kwa alimi ang'onoang'ono; Onani zoyambitsa ndi zopereka malamulo. [Source: Wothandizira inshuwaransi],What kinds of insurance can small farmers get?,Index or group insurance can be affordable for small farmers; check triggers and claim rules. [Source: Insurance regulator],0.775,0.8588235294117647,0.8169117647058823,Chichewa,Insurance & Risk
Kodi Kukongola Kubwereka Ndi Chiyani?,"Kubwereka zomwe mungabwezere, werengani mawu, ndipo pewani obwereketsa ndi malonjezo osatheka. [Zoyambitsa: Reserve banki of Malawi]",What is responsible borrowing?,"Borrow only what you can repay, read terms, and avoid lenders with unrealistic promises. [Source: Reserve Bank of Malawi]",0.85,0.968421052631579,0.9092105263157895,Chichewa,Credit & Loans
Ndani amapangira malamulo obanki ndi ufulu wa makasitomala? Kodi ndingachite bwanji izi zotsika mtengo?,Yang'anani Authority kapena Ogwiritsa Ntchito chitetezo choteteza boma ndi kudandaula. [Gwero: CGAPE],Who enforces banking rules and customer rights? How can I do this cheaply?,Check the local regulator or consumer protection authority for official guidance and complaint steps. [Source: CGAP],0.8615384615384616,0.7,0.7807692307692308,Chichewa,Financial Rights & Regulations
Kodi ndiyenera kusintha mapulogalamu anga ati?,Zosintha za chitetezo patch; Khazikitsani mapulogalamu kuti musinthe zokha komwe kuli kotheka. [Dzuwa: Chitsogozo cha banki banki],When should I update my banking apps?,Updates patch security issues; set apps to update automatically where possible. [Source: Central Bank guidance],0.0857142857142857,0.76,0.4228571428571429,Chichewa,Digital Financial Literacy
Kodi ndalama zam'manja zikuyenda bwanji poyerekeza ndi banki?,Onse akhoza kukhala otetezeka ngati mungateteze pini yanu ndi foni; Banks imatha kupereka chitetezo chokhazikika pomwe ndalama zam'magalimoto ndizosavuta. [Source: Wothandizira inshuwaransi],How secure is mobile money compared to a bank?,Both can be secure if you protect your PIN and phone; banks may offer deposit protection while mobile money is convenient. [Source: Insurance regulator],0.8666666666666667,0.5785714285714286,0.7226190476190477,Chichewa,Banking & Mobile Money
Kodi pulani yosavuta yopuma pantchito yanji?,Cholinga chosunga gawo lokhazikika la ndalama; Sungani ndalama ndikuwunika pachaka. [Source: Wothandizira inshuwaransi],What is a simple retirement saving plan for informal workers?,Aim to save a steady percentage of income; automate savings and review yearly. [Source: Insurance regulator],0.3,0.615,0.4575,Chichewa,Financial Planning & Retirement
Kodi ziphuphu zimagwiritsa ntchito bwanji media zothandizira kuti zisachichenje?,"Ngati atapempha ndalama zakutsogolo kapena kwanu, mwina ndi vuto; Tsimikizani kudzera munjira zovomerezeka ndipo musathamangire. [Dzuwa: Chitsogozo cha banki]",How do scammers use social media to commit fraud?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Bank guidance]",0.26666666666666666,0.5205128205128204,0.3935897435897435,Chichewa,Fraud Prevention & Scams
Ndi malamulo ati omwe amakhalapo motsutsana ndi ngongole yobisika?,"Funsani mawu omveka bwino, sungani umboni wa zochitika, ndipo gwiritsani ntchito njira zovomerezeka. [Gwero: GSMA]",What protections exist against hidden loan charges?,"Ask for clear terms, keep proof of transactions, and use official channels for services. [Source: GSMA]",0.3428571428571428,0.36,0.3514285714285714,Chichewa,Consumer Protection & Fraud Awareness
Kodi Ndingazindikire Bwanji Ngongole Yabodza? Kodi ndiyenera kusamalira chiyani?,"Ngati atapempha ndalama zakutsogolo kapena kwanu, mwina ndi vuto; Tsimikizani kudzera munjira zovomerezeka ndipo musathamangire. [Dzuwa: Ogwiritsa Ntchito Ogula]",How can I recognize a fake loan offer? What should I watch out for?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Consumer Protection Authority]",0.7230769230769231,0.37777777777777777,0.5504273504273505,Chichewa,Fraud Prevention & Scams
Kodi ndimadziteteza bwanji ku ziphuphu? Kodi ndingachite bwanji izi zotsika mtengo?,"Ngati atapempha ndalama zakutsogolo kapena kwanu, mwina ndi vuto; Tsimikizani kudzera munjira zovomerezeka ndipo musathamangire. [Dzuwa: Malangizo a Telefoni]",How do I protect myself from investment scams? How can I do this cheaply?,"If an offer asks for money up-front or personal codes, it is likely a scam; verify through official channels and do not rush. [Source: Mobile operator guidance]",0.5909090909090909,0.4222222222222222,0.5065656565656566,Chichewa,Fraud Prevention & Scams
